[[17  3 15  6 11 10  4 21 13 12  7]
 [ 3 46 16 15  9  1  1  5  9  9  1]
 [ 2 10 39  7  9  2  1  9  3 13 10]
 [ 8  3  3 28  0  2  1  4 36  7  4]
 [ 6 10  5  2 40  2  0 17  7  6  4]
 [ 2  0  4  1  2 57 11  3  2  9 16]
 [ 4  0  4  3  0 37 39  6  3 13 10]
 [ 6  6 16  3 18  6  3 31  5  3  5]
 [ 4  3  3 18  0  1  1  1 68  9  0]
 [ 6  5  9  9  2  6  2  3 20 40 14]
 [ 1  3 10  1  0 26 12  2  1  7 44]]
